,0,test_filter
0,Ajisen Ramen,Lunch
1,Akimitsu Tendon,Lunch
2,Boulevard,Lunch
3,Five Izakaya Bar,Lunch
4,Han's,Lunch
5,Hong Kong Sheng Kee Dessert,Lunch
6,Ichiban Sushi,Lunch
7,Idaten Udon,Lunch
8,Jollibee,Lunch
9,Kopitiam,Lunch
10,Lian Peng Bak Kut Teh,Lunch
11,McDonald's,Lunch
12,Moa Tiki New Zealand Bar & Grill,Lunch
13,Ohana Poke,Lunch
14,Ootoya,Lunch
15,Pondok Kartika Indonesian Food,Lunch
16,PrimaDeli ,Lunch
17,Putri Nur Nasi Padang,Lunch
18,Saizeriya,Lunch
19,Seoul Garden HotPot,Lunch
20,Shabu Sai,Lunch
21,Stuff'd ,Lunch
22,Table Manners,Lunch
23,Teppei Syokudo,Lunch
24,Texas Chicken ,Lunch
25,The Manhattan FISH MARKET,Lunch
26,The Original Boat Noodle,Lunch
27,The Soup Spoon Union,Lunch
28,Toast Box,Lunch
29,WOLF Burgers,Lunch
30,Ya Kun Family Café,Lunch