,name,test_filter
0,4 Fingers Crispy Chicken,Lunch
1,Aoy's Thai Noodle Bar,Lunch
2,Bikanervala,Lunch
3,Burger King,Lunch
4,Collin's,Lunch
5,Colonial Club,Lunch
6,Curry Times,Lunch
7,Dian Xiao Er,Lunch
8,Heavenly Wang,Lunch
9,Encik Tan,Lunch
10,Harry's Bar and Dining,Lunch
11,Itacho Sushi,Lunch
12,Foodcourt,Lunch
13,LeNu Noodle Bar,Lunch
14,McDonalds,Lunch
15,Old Town White Coffee,Lunch
16,Paradise Dynasty,Lunch
17,Pasta Mania,Lunch
18,Pret a Manger,Lunch
19,Subway,Lunch
20,Ramen Champion,Lunch
21,Tanuki Raw,Lunch